物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
ＹＳＡ清澄白河,"147,000円","管理費9,000円",なし,1ヶ月,1.1ヶ月,東京都江東区,101号室,1LDK,37.74㎡,清澄白河駅 徒歩3分(東京地下鉄半蔵門線),https://www.goodrooms.jp/tokyo/detail/001/1001261204/
on off 上手なあなたへ,"117,000円","管理費10,000円",11.7万円,11.7万円,なし,東京都大田区,0203号室,1LDK,33.4㎡,大森町駅 徒歩5分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1000874792/
ルクレ上北沢ルネサンスコート,"150,000円","管理費15,000円",なし,なし,なし,東京都杉並区,0111号室,1LDK,40.96㎡,上北沢駅 徒歩5分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1000561966/
UNDERFOREST BLDG,"160,000円","管理費5,000円",16万円,なし,1.1ヶ月,東京都中央区,0201号室,1SLDK,39.33㎡,馬喰町駅 徒歩2分(総武本線),https://www.goodrooms.jp/tokyo/detail/001/1001334078/
ラプソディ・イン・グレー,"153,000円","管理費9,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中野区,105号室,1LDK,40.16㎡,新中野駅 徒歩6分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000382390/
エスティメゾン四谷坂町,"178,000円","管理費12,000円",1ヶ月,なし,1.1ヶ月,東京都新宿区,606号室,1LDK,41.49㎡,曙橋駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001172489/
マストライフ八幡山,"159,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,302号室,1LDK,45.3㎡,八幡山駅 徒歩6分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001302754/
セジョリ墨田EASTIII,"144,500円","管理費18,000円",なし,なし,1.1ヶ月,東京都墨田区,708号室,1LDK,41.82㎡,東向島駅 徒歩9分(東武伊勢崎・大師線),https://www.goodrooms.jp/tokyo/detail/001/1001332226/
考えるのが趣味,"105,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,207号室,1LDK,33.53㎡,東長崎駅 徒歩9分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001130336/
カーサラッテ,"100,000円","管理費3,000円",1ヶ月,なし,なし,東京都練馬区,202号室,1LDK,40.23㎡,江古田駅 徒歩8分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001327369/
スタシオン赤塚,"100,000円","管理費6,000円",なし,1ヶ月,1.1ヶ月,東京都練馬区,401号室,1LDK,46.05㎡,地下鉄赤塚駅 徒歩1分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001169209/
アディールテラス上野毛,"158,000円","管理費10,000円",15.8万円,15.8万円,1.1ヶ月,東京都世田谷区,1階,1SLDK,46.93㎡,上野毛駅 徒歩6分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001320697/
カサ・デラヴィスタ南青山,"146,000円","管理費3,500円",なし,1ヶ月,1.1ヶ月,東京都港区,101号室,1LDK,39.21㎡,外苑前駅 徒歩5分(東京地下鉄銀座線),https://www.goodrooms.jp/tokyo/detail/001/1001288907/
ホーユーハイツＢ,"85,000円","管理費4,000円",1ヶ月,なし,1.1ヶ月,東京都練馬区,103号室,2DK,40.92㎡,光が丘駅 徒歩6分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001285708/
モンセラート船堀,"97,000円","管理費3,000円",9.7万円,なし,1.1ヶ月,東京都江戸川区,0301号室,1LDK,41.58㎡,船堀駅 徒歩3分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001308084/
Ｍａｉｓｏｎｎｅｔｔｐａｒｋ小竹向原駅,"109,000円","管理費3,000円",1ヶ月,1ヶ月,なし,東京都板橋区,201号室,1LDK,36.98㎡,小竹向原駅 徒歩8分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001296226/
マーキュリー三ノ輪マンション,"95,000円","管理費10,000円",9.5万円,なし,1.1ヶ月,東京都台東区,2階,2K,24.93㎡,三ノ輪駅 徒歩2分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001289449/
ＦＥＬＩＣＥ　ＨＡＺＡＷＡ,"125,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,202号室,1LDK,44.71㎡,新桜台駅 徒歩4分(西武有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001222963/
パークエミネンス代田,"134,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,102号室,1LDK,37.26㎡,梅ヶ丘駅 徒歩7分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001288219/
Ｂｒａｎｃｈｅ洗足Ⅱ,"130,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都目黒区,103号室,1LDK,40.66㎡,洗足駅 徒歩7分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001284351/
仮称 町屋2丁目長屋計画,"81,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都荒川区,1階,2K,28.12㎡,町屋駅 徒歩6分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339754/
シルエラ,"147,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都世田谷区,A号室,1LDK,43.26㎡,駒沢大学駅 徒歩7分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001337626/
コート関口,"125,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,402号室,1LDK,45.2㎡,新江古田駅 徒歩8分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001334552/
ベルジェ南千束,"138,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,201号室,1LDK,53.63㎡,洗足池駅 徒歩9分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001332355/
Ｆｏｒｓｔ　Ｒｅｓｉｄｅｎｚ　Ｎａｋａｍｕｒａｂａｓｈｉ,"112,000円","管理費8,000円",なし,なし,1.1ヶ月,東京都練馬区,101号室,1LDK,40.04㎡,中村橋駅 徒歩7分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001007690/
欣志ビル,"100,000円","管理費10,000円",10万円,なし,1.1ヶ月,東京都江戸川区,604号室,2DK,45.0㎡,平井駅 徒歩3分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001176341/
タスキsmart中野,"140,000円","管理費9,000円",1ヶ月,なし,1.1ヶ月,東京都中野区,302号室,1LDK,30.01㎡,中野駅 徒歩4分(中央本線),https://www.goodrooms.jp/tokyo/detail/001/1001294368/
アミューズヴィラⅡ,"84,000円","管理費1,000円",1ヶ月,なし,1.1ヶ月,東京都世田谷区,201号室,1LDK,34.71㎡,祖師ヶ谷大蔵駅 徒歩5分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001296503/
シマダハイム,"70,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都練馬区,101号室,2K,34.78㎡,大泉学園駅 徒歩5分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1000227892/
エスカイア北小岩第二マンション,"80,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都江戸川区,301号室,2LDK,45.39㎡,京成小岩駅 徒歩3分(京成電鉄本・空港線),https://www.goodrooms.jp/tokyo/detail/001/1001275658/
サンハイツ上野毛,"120,000円","管理費5,000円",なし,なし,1.1ヶ月,東京都世田谷区,101号室,1LDK,35.86㎡,上野毛駅 徒歩7分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001206310/
（仮）Ｍｙ　Ｓｔｙｌｅ　中板橋,"94,000円","管理費4,000円",なし,1ヶ月,1.1ヶ月,東京都板橋区,303号室,1LDK,29.39㎡,中板橋駅 徒歩9分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001336284/
（仮）Ｍｙ　Ｓｔｙｌｅ　中板橋,"92,000円","管理費4,000円",なし,1ヶ月,1.1ヶ月,東京都板橋区,203号室,1LDK,29.39㎡,中板橋駅 徒歩9分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001336282/
デュオ・スカーラ緑が丘,"130,000円","管理費14,000円",なし,1ヶ月,1.1ヶ月,東京都目黒区,301号室,1LDK,35.65㎡,緑が丘駅 徒歩8分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001331359/
ルス デル ソル 大森 II,"125,000円","管理費3,000円",1ヶ月,1.5ヶ月,1.1ヶ月,東京都大田区,101号室,1LDK,41.0㎡,大森駅 徒歩14分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001327938/
ウェルスクエアイズム文京小日向,"177,000円","管理費7,000円",なし,1ヶ月,1.1ヶ月,東京都文京区,201号室,1LDK,40.34㎡,江戸川橋駅 徒歩3分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1000735619/
Ｆｅｌｉｃｅ,"135,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,103号室,1LDK,41.49㎡,下高井戸駅 徒歩10分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001326478/
ミラベル大森,"100,000円","管理費3,000円",10万円,なし,1.1ヶ月,東京都大田区,208B号室,2DK,39.5㎡,大森町駅 徒歩5分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001323833/
デュオフラッツ板橋本町,"153,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都板橋区,1301号室,1LDK,38.06㎡,本蓮沼駅 徒歩4分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001311174/
ディームス上野御徒町,"187,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都台東区,0501号室,1LDK,40.2㎡,新御徒町駅 徒歩5分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000721823/
デュオフラッツ板橋本町,"153,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都板橋区,1401号室,1LDK,38.06㎡,本蓮沼駅 徒歩4分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001294382/
プレチオーサ西六郷,"134,000円","管理費6,000円",1ヶ月,2ヶ月,1.1ヶ月,東京都大田区,101号室,1SLDK,49.56㎡,雑色駅 徒歩9分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001291804/
日常から開放感,"83,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都江戸川区,3階,1LDK,47.93㎡,瑞江駅 徒歩10分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1000785140/
THE PREMIUM CUBE G 東中野,"118,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,508号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340328/
THE PREMIUM CUBE G 東中野,"118,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,509号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340325/
THE PREMIUM CUBE G 東中野,"118,000円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,411号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001297310/
THE PREMIUM CUBE G 東中野,"118,000円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,412号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001297306/
THE PREMIUM CUBE G 東中野,"117,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,313号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340313/
THE PREMIUM CUBE G 東中野,"117,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,310号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340309/
THE PREMIUM CUBE G 東中野,"117,500円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,308号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340306/
THE PREMIUM CUBE G 東中野,"114,000円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,112号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340303/
THE PREMIUM CUBE G 東中野,"114,000円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,113号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340302/
THE PREMIUM CUBE G 東中野,"114,000円","管理費15,000円",なし,1ヶ月,なし,東京都中野区,111号室,2K,25.98㎡,東中野駅 徒歩7分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001340300/
ラヴィーナ池上,"116,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,0203号室,2DK,47.19㎡,池上駅 徒歩7分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1000151832/
仮称 町屋2丁目長屋計画,"109,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都荒川区,3階,1LDK,47.78㎡,町屋駅 徒歩6分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339749/
仮称 町屋2丁目長屋計画,"108,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都荒川区,2階,1LDK,40.16㎡,町屋駅 徒歩6分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339750/
スカイコート蒲田ガーデン,"151,200円","管理費13,800円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,1001号室,1LDK,42.0㎡,蒲田駅 徒歩7分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001339682/
メゾン北綾瀬,"106,000円","管理費6,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,302号室,1LDK,38.83㎡,北綾瀬駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339502/
メゾン北綾瀬,"105,000円","管理費6,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,203号室,1LDK,38.83㎡,北綾瀬駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339503/
メゾン北綾瀬,"109,000円","管理費6,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都足立区,301号室,1LDK,39.22㎡,北綾瀬駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339500/
東亜パークサイドキャッスル,"160,000円","管理費5,000円",16万円,16万円,1.1ヶ月,東京都大田区,704号室,3LDK,47.33㎡,大森駅 徒歩3分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001338192/
エクセルシオール保塚町,"171,000円","管理費20,000円",なし,なし,1.1ヶ月,東京都足立区,311号室,2LDK,56.1㎡,六町駅 徒歩9分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001337951/
エクセルシオール保塚町,"112,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都足立区,207号室,1LDK,35.72㎡,六町駅 徒歩9分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001337940/
長縄ビル,"107,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都台東区,202号室,1LDK,34.5㎡,浅草駅 徒歩3分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001337831/
KDXレジデンス本蓮沼,"160,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都板橋区,0405号室,1SLDK,47.08㎡,本蓮沼駅 徒歩2分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001337691/
パークアクシス池田山,"174,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,436号室,1LDK,34.61㎡,五反田駅 徒歩5分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001338029/
グリーンフィールド大山,"157,000円","管理費15,000円",なし,なし,1.1ヶ月,東京都板橋区,0903号室,2LDK,57.42㎡,大山駅 徒歩9分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1000685473/
The Aigrette Minami‐Kamata,"169,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,101号室,1SLDK,44.61㎡,京急蒲田駅 徒歩3分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001336749/
The Aigrette Minami‐Kamata,"168,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,501号室,1LDK,37.0㎡,京急蒲田駅 徒歩3分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001336742/
アクシーズグランデ三ノ輪,"131,000円","管理費8,000円",なし,なし,1.1ヶ月,東京都台東区,602号室,1LDK,40.75㎡,三ノ輪駅 徒歩3分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001287921/
カフェオレでひと休み。,"76,000円","管理費10,000円",なし,なし,なし,東京都足立区,0305号室,2K,26.07㎡,舎人駅 徒歩2分(日暮里舎人ライナー),https://www.goodrooms.jp/tokyo/detail/001/1001312411/
メゾンプルミエール,"116,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都大田区,403号室,2DK,39.42㎡,池上駅 徒歩3分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001336022/
パルシェ萩中,"129,000円","管理費6,000円",1ヶ月,1.5ヶ月,1.1ヶ月,東京都大田区,206号室,1LDK,44.55㎡,大鳥居駅 徒歩8分(京浜急行電鉄空港線),https://www.goodrooms.jp/tokyo/detail/001/1001336016/
本の虫になるのです,"179,000円","管理費9,000円",なし,なし,なし,東京都文京区,206号室,1LDK,40.46㎡,本駒込駅 徒歩9分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1000811108/
櫻　館,"99,000円","管理費4,500円",なし,1ヶ月,1.1ヶ月,東京都足立区,206号室,1LDK,42.26㎡,江北駅 徒歩7分(日暮里舎人ライナー),https://www.goodrooms.jp/tokyo/detail/001/1000873857/
ウィステリア日本橋馬喰町,"170,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都中央区,601号室,1LDK,40.01㎡,馬喰町駅 徒歩2分(総武本線),https://www.goodrooms.jp/tokyo/detail/001/1001305792/
サンパレス,"129,000円","管理費7,000円",12.9万円,なし,1.1ヶ月,東京都大田区,101C号室,1LDK,40.0㎡,池上駅 徒歩7分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001334913/
サンパレス,"125,000円","管理費7,000円",12.5万円,12.5万円,1.1ヶ月,東京都大田区,101号室,1LDK,40.0㎡,池上駅 徒歩7分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1000873124/
ハーモニーレジデンスグローバルキャピタル,"164,000円","管理費12,000円",なし,1ヶ月,1.1ヶ月,東京都台東区,1302号室,1LDK,40.56㎡,入谷駅 徒歩5分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001335637/
Ｇ　ＦＯＲＥＳＴ　Ｉ,"140,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都世田谷区,104号室,1LDK,36.38㎡,尾山台駅 徒歩9分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001335549/
サクラビル,"69,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,401号室,2K,33.0㎡,武蔵新田駅 徒歩8分(東急多摩川線),https://www.goodrooms.jp/tokyo/detail/001/1001335440/
レジディア都立大,"162,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都目黒区,1004号室,1LDK,33.17㎡,都立大学駅 徒歩4分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1000934480/
